timestamp,value
2022-07-30 18:43:42,5586
2022-07-30 18:43:46,6125
2022-07-30 18:43:48,6008
2022-07-30 18:43:55,5436
2022-07-30 18:44:00,5821
2022-07-30 18:44:03,5867
2022-07-30 18:44:08,5778
2022-07-30 18:44:10,5552
2022-07-30 18:44:13,5747
2022-07-30 18:44:18,6106
2022-07-30 18:44:22,5692
2022-07-30 18:44:25,5979
2022-07-30 18:44:27,5781
2022-07-30 18:44:31,6017
2022-07-30 18:44:34,5677
2022-07-30 18:44:44,5925
2022-07-30 18:44:47,6033
2022-07-30 18:45:05,5625
2022-07-30 18:45:07,5555
2022-07-30 18:45:12,6195
2022-07-30 18:45:14,5751
2022-07-30 18:45:17,5562
2022-07-30 18:45:20,5947
2022-07-30 18:45:26,6275
2022-07-30 18:45:29,6152
2022-07-30 18:45:32,5710
2022-07-30 18:45:35,5658
2022-07-30 18:45:41,5460
2022-07-30 18:45:44,5979
2022-07-30 18:45:50,6196
2022-07-30 18:45:54,5836
2022-07-30 18:45:57,6360
2022-07-30 18:46:00,5542
2022-07-30 18:46:09,5555
2022-07-30 18:46:12,5812
2022-07-30 18:46:18,5628
2022-07-30 18:46:20,5952
2022-07-30 18:46:22,5662
2022-07-30 18:46:27,6315
2022-07-30 18:46:31,5994
2022-07-30 18:46:42,6242
2022-07-30 18:46:45,6078
2022-07-30 18:46:48,6240
2022-07-30 18:46:55,6139
2022-07-30 18:47:03,5990
2022-07-30 18:47:06,6395
2022-07-30 18:47:10,5877
2022-07-30 18:47:12,5985
2022-07-30 18:47:16,5764
2022-07-30 18:47:19,6090
2022-07-30 18:47:25,6247
2022-07-30 18:47:29,6345
2022-07-30 18:47:33,5931
2022-07-30 18:47:37,6137
2022-07-30 18:47:41,5640
2022-07-30 18:47:51,6204
2022-07-30 18:47:56,5970
2022-07-30 18:47:59,6243
2022-07-30 18:48:03,6454
2022-07-30 18:48:07,6263
2022-07-30 18:48:09,5930
2022-07-30 18:48:12,6261
2022-07-30 18:48:14,5928
2022-07-30 18:48:20,5726
