timestamp,value
2022-08-02 01:02:00,1082.0
2022-08-02 01:03:00,1060.0
2022-08-02 01:04:00,1059.0
2022-08-02 01:05:00,1080.0
2022-08-02 01:06:00,1077.0
2022-08-02 01:07:00,1057.0
2022-08-02 01:08:00,1043.0
2022-08-02 01:09:00,1049.0
2022-08-02 01:10:00,1060.0
2022-08-02 01:11:00,1068.0
2022-08-02 01:12:00,1082.0
2022-08-02 01:13:00,1096.0
2022-08-02 01:14:00,1087.0
2022-08-02 01:15:00,1099.0
2022-08-02 01:16:00,1109.0
2022-08-02 01:17:00,1075.0
2022-08-02 01:18:00,1075.0
2022-08-02 01:19:00,1089.0
2022-08-02 01:20:00,1083.0
2022-08-02 01:21:00,1092.0
2022-08-02 01:22:00,1097.0
2022-08-02 01:23:00,1093.0
2022-08-02 01:24:00,1094.0
2022-08-02 01:25:00,1105.0
2022-08-02 01:26:00,1097.0
2022-08-02 01:27:00,1108.0
2022-08-02 01:28:00,1107.0
2022-08-02 01:29:00,1099.0
2022-08-02 01:30:00,1104.0
2022-08-02 01:31:00,1109.0
2022-08-02 01:32:00,1131.0
2022-08-02 01:33:00,1119.0
2022-08-02 01:34:00,1124.0
2022-08-02 01:35:00,1127.0
2022-08-02 01:36:00,1123.0
2022-08-02 01:37:00,1115.0
2022-08-02 01:38:00,1117.0
2022-08-02 01:39:00,1111.0
2022-08-02 01:40:00,1107.0
2022-08-02 01:41:00,1109.0
2022-08-02 01:42:00,1113.0
2022-08-02 01:43:00,1119.0
2022-08-02 01:44:00,1096.0
2022-08-02 01:45:00,1105.0
2022-08-02 01:46:00,1093.0
2022-08-02 01:47:00,1095.0
2022-08-02 01:48:00,1087.0
2022-08-02 01:49:00,1100.0
2022-08-02 01:50:00,1117.0
2022-08-02 01:51:00,1121.0
2022-08-02 01:52:00,1126.0
2022-08-02 01:53:00,1128.0
2022-08-02 01:54:00,1140.0
2022-08-02 01:55:00,1131.0
2022-08-02 01:56:00,1150.0
2022-08-02 01:57:00,1163.0
2022-08-02 01:58:00,1177.0
2022-08-02 01:59:00,1164.0
2022-08-02 02:00:00,1148.0
2022-08-02 02:01:00,1147.0
2022-08-02 02:02:00,1140.0
2022-08-02 02:03:00,1135.0
2022-08-02 02:04:00,1133.0
2022-08-02 02:05:00,1118.0
2022-08-02 02:06:00,1104.0
2022-08-02 02:07:00,1092.0
2022-08-02 02:08:00,1107.0
2022-08-02 02:09:00,1107.0
2022-08-02 02:10:00,1129.0
2022-08-02 02:11:00,1136.0
2022-08-02 02:12:00,1125.0
2022-08-02 02:13:00,1110.0
2022-08-02 02:14:00,1112.0
2022-08-02 02:15:00,1126.0
2022-08-02 02:16:00,1130.0
2022-08-02 02:17:00,1139.0
2022-08-02 02:18:00,1153.0
2022-08-02 02:19:00,1162.0
2022-08-02 02:20:00,1149.0
2022-08-02 02:21:00,1145.0
2022-08-02 02:22:00,1164.0
2022-08-02 02:23:00,1163.0
2022-08-02 02:24:00,1162.0
2022-08-02 02:25:00,1126.0
2022-08-02 02:26:00,1044.0
2022-08-02 02:27:00,1102.0
2022-08-02 02:28:00,1135.0
2022-08-02 02:29:00,1131.0
2022-08-02 02:30:00,1123.0
2022-08-02 02:31:00,1142.0
2022-08-02 02:32:00,1143.0
2022-08-02 02:33:00,1140.0
2022-08-02 02:34:00,1128.0
2022-08-02 02:35:00,1128.0
2022-08-02 02:36:00,1133.0
2022-08-02 02:37:00,1124.0
2022-08-02 02:38:00,1124.0
2022-08-02 02:39:00,1119.0
2022-08-02 02:40:00,1143.0
2022-08-02 02:41:00,1143.0
2022-08-02 02:42:00,1168.0
