ID,channel,Category
A,cloakzy,apex_legends
B,dippedinpoison,just_chatting
C,sypherpk1,fortnite
D,disguisedtoast,just_chatting
E,thebausffs,league_of_legends
F,kitboga,just_chatting
G,k3soju,teamfight_tactics
H,boxbox,teamfight_tactics
I,asmongold,just_chatting
