,date,value
0,2022-07-30 18:43:42.434265,6053.0
1,2022-07-30 18:43:48.655846,6210.0
2,2022-07-30 18:43:51.911340,6106.0
3,2022-07-30 18:43:58.242191,6188.0
4,2022-07-30 18:44:01.309301,5514.0
5,2022-07-30 18:44:04.397646,5601.0
6,2022-07-30 18:44:10.695379,5910.0
7,2022-07-30 18:44:32.098462,6044.0
8,2022-07-30 18:44:54.217126,6182.0
9,2022-07-30 18:44:57.203905,5504.0
10,2022-07-30 18:45:09.642265,6109.0
11,2022-07-30 18:45:14.784714,6155.0
12,2022-07-30 18:45:17.875061,5879.0
13,2022-07-30 18:45:20.965533,5699.0
14,2022-07-30 18:45:23.110292,6063.0
15,2022-07-30 18:45:26.966621,6023.0
16,2022-07-30 18:45:30.142462,5991.0
17,2022-07-30 18:45:33.185553,5916.0
18,2022-07-30 18:45:37.636211,6044.0
19,2022-07-30 18:45:41.681404,5697.0
20,2022-07-30 18:45:44.827619,6348.0
21,2022-07-30 18:45:46.948810,5527.0
22,2022-07-30 18:45:51.039689,6357.0
23,2022-07-30 18:45:54.935983,5986.0
24,2022-07-30 18:46:01.147921,5841.0
25,2022-07-30 18:46:03.325553,6428.0
26,2022-07-30 18:46:06.483646,5872.0
27,2022-07-30 18:46:09.730464,6231.0
28,2022-07-30 18:46:12.895218,5965.0
29,2022-07-30 18:46:15.072503,6085.0
30,2022-07-30 18:46:23.309101,6415.0
31,2022-07-30 18:46:27.468687,5692.0
32,2022-07-30 18:46:31.493215,5861.0
33,2022-07-30 18:46:39.750982,5600.0
34,2022-07-30 18:46:43.023707,6292.0
35,2022-07-30 18:46:51.383817,6195.0
36,2022-07-30 18:46:55.414863,5642.0
37,2022-07-30 18:46:58.553164,6171.0
38,2022-07-30 18:47:04.183917,5974.0
39,2022-07-30 18:47:12.830697,5740.0
40,2022-07-30 18:47:19.992157,6100.0
41,2022-07-30 18:47:23.046126,5730.0
42,2022-07-30 18:47:26.337518,5684.0
43,2022-07-30 18:47:29.527442,5578.0
44,2022-07-30 18:47:33.647841,5731.0
45,2022-07-30 18:47:37.609168,5790.0
46,2022-07-30 18:47:41.600827,5801.0
47,2022-07-30 18:47:46.350003,5931.0
48,2022-07-30 18:47:51.642268,5785.0
49,2022-07-30 18:47:53.912536,5636.0
50,2022-07-30 18:47:56.916956,6198.0
51,2022-07-30 18:47:59.842818,6004.0
52,2022-07-30 18:48:03.847621,6020.0
53,2022-07-30 18:48:10.258277,6350.0
54,2022-07-30 18:48:25.402325,6425.0
55,2022-07-30 18:48:30.953026,6261.0
56,2022-07-30 18:48:35.065674,6134.0
57,2022-07-30 18:48:40.352294,6347.0
58,2022-07-30 18:48:48.790491,6201.0
59,2022-07-30 18:48:55.861749,6244.0
60,2022-07-30 18:49:04.372406,6015.0
61,2022-07-30 18:49:09.546268,6384.0
62,2022-07-30 18:49:17.903592,6253.0
63,2022-07-30 18:49:21.825536,5865.0
64,2022-07-30 18:49:42.471502,6339.0
65,2022-07-30 18:49:45.470528,6445.0
66,2022-07-30 18:49:56.459556,5831.0
67,2022-07-30 18:50:06.800501,6262.0
68,2022-07-30 18:50:10.750529,6103.0
69,2022-07-30 18:50:13.928075,5679.0
70,2022-07-30 18:50:43.013603,5786.0
71,2022-07-30 18:50:52.614761,5801.0
72,2022-07-30 18:50:55.627216,5647.0
73,2022-07-30 18:50:59.730399,6347.0
74,2022-07-30 18:51:03.641277,6291.0
75,2022-07-30 18:51:06.718460,6076.0
76,2022-07-30 18:51:10.876986,5989.0
77,2022-07-30 18:51:13.047977,6203.0
78,2022-07-30 18:51:16.295631,6433.0
79,2022-07-30 18:51:19.292260,6051.0
80,2022-07-30 18:51:20.343082,6453.0
81,2022-07-30 18:51:24.567739,6139.0
82,2022-07-30 18:51:29.037331,6017.0
83,2022-07-30 18:51:31.975667,6484.0
84,2022-07-30 18:51:37.758565,5783.0
85,2022-07-30 18:51:41.107534,5900.0
86,2022-07-30 18:51:53.610122,6082.0
87,2022-07-30 18:51:56.830142,5720.0
88,2022-07-30 18:51:59.086256,5942.0
89,2022-07-30 18:52:05.275841,6112.0
90,2022-07-30 18:52:10.837473,6237.0
91,2022-07-30 18:52:16.923425,5901.0
92,2022-07-30 18:52:21.186511,5750.0
93,2022-07-30 18:52:26.884257,6362.0
94,2022-07-30 18:52:40.249801,5944.0
95,2022-07-30 18:52:43.204538,6106.0
96,2022-07-30 18:52:46.596707,6356.0
97,2022-07-30 18:52:49.938272,6202.0
98,2022-07-30 18:52:52.971585,6474.0
99,2022-07-30 18:52:57.937106,6290.0
100,2022-07-30 18:53:03.255265,6020.0
101,2022-07-30 18:53:09.425292,6189.0
102,2022-07-30 18:53:14.672081,6202.0
103,2022-07-30 18:53:18.605613,5867.0
104,2022-07-30 18:53:20.824276,5968.0
105,2022-07-30 18:53:26.949931,6123.0
106,2022-07-30 18:53:32.332025,6300.0
107,2022-07-30 18:53:35.306760,5915.0
108,2022-07-30 18:53:42.559118,6605.0
109,2022-07-30 18:53:46.705666,6588.0
110,2022-07-30 18:53:50.899372,6436.0
111,2022-07-30 18:53:59.493108,6285.0
112,2022-07-30 18:54:01.730931,6049.0
113,2022-07-30 18:54:05.797960,5888.0
114,2022-07-30 18:54:07.995474,6013.0
115,2022-07-30 18:54:11.795167,6287.0
116,2022-07-30 18:54:17.116884,5971.0
117,2022-07-30 18:54:27.899147,6456.0
118,2022-07-30 18:54:35.075714,6245.0
119,2022-07-30 18:54:39.097840,6364.0
120,2022-07-30 18:54:42.290737,6253.0
121,2022-07-30 18:54:46.650953,6321.0
122,2022-07-30 18:54:50.623979,6266.0
123,2022-07-30 18:54:57.676569,5699.0
124,2022-07-30 18:55:01.630509,6511.0
125,2022-07-30 18:55:11.753396,5719.0
126,2022-07-30 18:55:15.863510,6385.0
127,2022-07-30 18:55:23.410470,6469.0
128,2022-07-30 18:55:29.734016,6362.0
129,2022-07-30 18:55:36.013841,6016.0
130,2022-07-30 18:56:09.527001,5787.0
131,2022-07-30 18:56:12.490471,6548.0
132,2022-07-30 18:56:16.655541,5804.0
133,2022-07-30 18:56:25.050409,6001.0
134,2022-07-30 18:56:32.811800,6259.0
135,2022-07-30 18:56:53.630693,6013.0
