timestamp,value
2022-07-30 21:18:00,-0.0314
2022-07-30 21:19:00,0.0915
2022-07-30 21:20:00,0.3063
2022-07-30 21:21:00,0.1172
2022-07-30 21:22:00,0.3025
2022-07-30 21:23:00,0.4095
2022-07-30 21:24:00,0.0084
2022-07-30 21:25:00,0.2945
2022-07-30 21:26:00,-0.0264
2022-07-30 21:27:00,0.275
2022-07-30 21:28:00,0.3999
2022-07-30 21:29:00,0.3368
2022-07-30 21:30:00,0.2572
2022-07-30 21:31:00,0.0584
2022-07-30 21:32:00,0.0189
2022-07-30 21:33:00,0.4172
2022-07-30 21:34:00,0.2389
2022-07-30 21:35:00,0.5028
2022-07-30 21:36:00,0.261
2022-07-30 21:37:00,0.2087
2022-07-30 21:38:00,0.1964
2022-07-30 21:39:00,0.4085
2022-07-30 21:40:00,0.2647
2022-07-30 21:41:00,0.1767
2022-07-30 21:42:00,0.3283
