,date,value
0,2022-07-30 18:43:43.270795,8408.0
1,2022-07-30 18:43:49.661576,8413.0
2,2022-07-30 18:43:52.910434,9251.0
3,2022-07-30 18:43:55.887890,8923.0
4,2022-07-30 18:44:05.311041,8153.0
5,2022-07-30 18:44:13.831491,8522.0
6,2022-07-30 18:44:16.110778,9058.0
7,2022-07-30 18:44:19.390848,8893.0
8,2022-07-30 18:44:22.439741,9188.0
9,2022-07-30 18:44:28.977464,9213.0
10,2022-07-30 18:44:35.191373,9072.0
11,2022-07-30 18:44:39.068630,8974.0
12,2022-07-30 18:44:44.841710,8796.0
13,2022-07-30 18:44:51.868859,8405.0
14,2022-07-30 18:44:55.036302,8697.0
15,2022-07-30 18:44:59.409982,9394.0
16,2022-07-30 18:45:01.659928,8903.0
17,2022-07-30 18:45:23.992467,8453.0
18,2022-07-30 18:45:38.482659,8962.0
19,2022-07-30 18:45:48.042581,9232.0
20,2022-07-30 18:45:51.874541,8921.0
21,2022-07-30 18:45:58.141275,9848.0
22,2022-07-30 18:46:04.334267,9334.0
23,2022-07-30 18:46:15.904067,9486.0
24,2022-07-30 18:46:24.206445,8907.0
25,2022-07-30 18:46:28.302874,9474.0
26,2022-07-30 18:46:32.497063,9246.0
27,2022-07-30 18:46:37.383588,9814.0
28,2022-07-30 18:46:46.019662,9654.0
29,2022-07-30 18:46:49.207113,9456.0
30,2022-07-30 18:46:52.264853,9816.0
31,2022-07-30 18:46:56.297864,9281.0
32,2022-07-30 18:47:00.736458,8535.0
33,2022-07-30 18:47:07.479841,9789.0
34,2022-07-30 18:47:13.724217,9100.0
35,2022-07-30 18:47:16.882597,8723.0
36,2022-07-30 18:47:20.841724,9478.0
37,2022-07-30 18:47:30.374364,9961.0
38,2022-07-30 18:47:34.479045,9632.0
39,2022-07-30 18:47:38.560782,9903.0
40,2022-07-30 18:47:48.526389,8997.0
41,2022-07-30 18:48:00.684646,8666.0
42,2022-07-30 18:48:04.738255,9182.0
43,2022-07-30 18:48:13.251419,8690.0
44,2022-07-30 18:48:17.879301,9021.0
45,2022-07-30 18:48:22.306642,9820.0
46,2022-07-30 18:48:31.983244,9348.0
47,2022-07-30 18:48:38.095365,8826.0
48,2022-07-30 18:48:41.247600,9426.0
49,2022-07-30 18:48:45.817015,9135.0
50,2022-07-30 18:48:49.714447,9122.0
51,2022-07-30 18:48:52.841783,9006.0
52,2022-07-30 18:49:01.179764,8959.0
53,2022-07-30 18:49:05.211285,9838.0
54,2022-07-30 18:49:14.938743,8834.0
55,2022-07-30 18:49:18.763748,9826.0
56,2022-07-30 18:49:31.458179,9674.0
57,2022-07-30 18:49:39.360862,9894.0
58,2022-07-30 18:49:48.531083,9294.0
59,2022-07-30 18:49:59.720171,9980.0
60,2022-07-30 18:50:03.406711,9388.0
61,2022-07-30 18:50:07.643651,8947.0
62,2022-07-30 18:50:14.782510,9477.0
63,2022-07-30 18:50:24.672608,8880.0
64,2022-07-30 18:50:39.817403,9871.0
65,2022-07-30 18:50:56.629767,9138.0
66,2022-07-30 18:51:00.580354,9739.0
67,2022-07-30 18:51:07.622367,9646.0
68,2022-07-30 18:51:21.173418,10059.0
69,2022-07-30 18:51:38.771330,9237.0
70,2022-07-30 18:51:42.140388,9957.0
71,2022-07-30 18:51:48.217999,9492.0
72,2022-07-30 18:51:54.707299,9634.0
73,2022-07-30 18:52:00.098445,9844.0
74,2022-07-30 18:52:02.284784,10156.0
75,2022-07-30 18:52:08.488400,9243.0
76,2022-07-30 18:52:11.750136,9650.0
77,2022-07-30 18:52:19.073218,9659.0
78,2022-07-30 18:52:24.673558,9863.0
79,2022-07-30 18:52:27.808151,10122.0
80,2022-07-30 18:52:31.027937,10230.0
81,2022-07-30 18:52:33.994117,10193.0
82,2022-07-30 18:52:47.451465,9451.0
83,2022-07-30 18:52:53.875143,10448.0
84,2022-07-30 18:53:06.424788,9826.0
85,2022-07-30 18:53:12.387794,9372.0
86,2022-07-30 18:53:15.509562,9945.0
87,2022-07-30 18:53:21.745075,9465.0
88,2022-07-30 18:53:36.313200,9226.0
89,2022-07-30 18:53:43.449462,10126.0
90,2022-07-30 18:53:47.820900,9417.0
91,2022-07-30 18:53:54.075188,9228.0
92,2022-07-30 18:53:56.444052,9679.0
93,2022-07-30 18:54:02.566950,10327.0
94,2022-07-30 18:54:08.831328,9493.0
95,2022-07-30 18:54:14.912465,9854.0
96,2022-07-30 18:54:20.086748,9525.0
97,2022-07-30 18:54:24.788491,10446.0
98,2022-07-30 18:54:28.734577,10234.0
99,2022-07-30 18:54:31.846802,9983.0
100,2022-07-30 18:54:36.003304,10446.0
101,2022-07-30 18:54:39.926388,9741.0
102,2022-07-30 18:54:43.135958,9911.0
103,2022-07-30 18:54:47.527904,9783.0
104,2022-07-30 18:54:51.464776,9463.0
105,2022-07-30 18:54:54.461036,9638.0
106,2022-07-30 18:54:58.524478,9077.0
107,2022-07-30 18:55:04.628448,10445.0
108,2022-07-30 18:55:08.646204,10247.0
109,2022-07-30 18:55:12.615563,9287.0
110,2022-07-30 18:55:18.912832,9254.0
111,2022-07-30 18:55:26.641442,10081.0
112,2022-07-30 18:55:32.760199,9171.0
113,2022-07-30 18:55:39.076268,10703.0
114,2022-07-30 18:55:41.392081,10465.0
115,2022-07-30 18:55:44.657269,9543.0
116,2022-07-30 18:55:47.700402,9402.0
117,2022-07-30 18:56:13.354457,9494.0
118,2022-07-30 18:56:38.752969,10612.0
119,2022-07-30 18:56:41.724724,10553.0
120,2022-07-30 18:56:51.156054,9871.0
121,2022-07-30 18:56:59.013699,10066.0
122,2022-07-30 18:57:03.339194,9498.0
123,2022-07-30 18:57:10.799633,9829.0
124,2022-07-30 18:57:16.911012,9662.0
125,2022-07-30 18:57:21.268318,9609.0
126,2022-07-30 18:57:24.478613,10126.0
127,2022-07-30 18:57:27.459153,9534.0
128,2022-07-30 18:57:30.697362,9642.0
129,2022-07-30 18:57:34.588268,10095.0
130,2022-07-30 18:57:57.360047,9817.0
131,2022-07-30 18:58:01.328296,10039.0
132,2022-07-30 18:58:20.034109,9270.0
133,2022-07-30 18:58:24.586639,9108.0
134,2022-07-30 18:58:28.696451,10188.0
135,2022-07-30 18:58:30.926659,9413.0
136,2022-07-30 18:58:42.268417,9527.0
137,2022-07-30 18:58:48.619690,10347.0
138,2022-07-30 18:58:56.345858,10419.0
139,2022-07-30 18:59:01.643330,10267.0
140,2022-07-30 18:59:08.493657,9788.0
141,2022-07-30 18:59:11.461509,9702.0
142,2022-07-30 18:59:18.634023,9256.0
143,2022-07-30 18:59:22.830590,9575.0
144,2022-07-30 18:59:28.958226,9186.0
145,2022-07-30 18:59:37.310950,9980.0
146,2022-07-30 18:59:50.272977,10376.0
147,2022-07-30 18:59:53.278779,10040.0
148,2022-07-30 18:59:56.257068,10302.0
149,2022-07-30 19:00:07.641241,10248.0
150,2022-07-30 19:00:10.750390,9870.0
151,2022-07-30 19:00:17.640685,10145.0
152,2022-07-30 19:00:20.852394,10387.0
153,2022-07-30 19:00:24.112948,10116.0
154,2022-07-30 19:00:27.130319,9191.0
155,2022-07-30 19:00:34.051303,9402.0
156,2022-07-30 19:00:39.256967,9365.0
157,2022-07-30 19:00:45.933381,10275.0
158,2022-07-30 19:01:06.405874,9350.0
159,2022-07-30 19:01:19.285312,10531.0
160,2022-07-30 19:01:27.919258,10191.0
161,2022-07-30 19:01:42.412269,9397.0
162,2022-07-30 19:01:44.506841,10522.0
163,2022-07-30 19:01:57.171584,10205.0
164,2022-07-30 19:02:06.745853,10272.0
165,2022-07-30 19:02:10.586099,9965.0
166,2022-07-30 19:02:13.562777,9643.0
167,2022-07-30 19:02:17.990740,10390.0
168,2022-07-30 19:02:22.021858,10029.0
169,2022-07-30 19:02:27.296193,9254.0
170,2022-07-30 19:02:30.726265,9360.0
171,2022-07-30 19:02:37.219594,10429.0
172,2022-07-30 19:02:48.422582,10425.0
173,2022-07-30 19:02:52.451272,10147.0
174,2022-07-30 19:02:58.669119,10392.0
175,2022-07-30 19:03:02.598117,9209.0
176,2022-07-30 19:03:09.811617,9261.0
177,2022-07-30 19:03:14.053069,9904.0
178,2022-07-30 19:03:20.146013,9920.0
179,2022-07-30 19:03:25.413209,10380.0
180,2022-07-30 19:03:28.437252,9227.0
181,2022-07-30 19:03:32.789826,9368.0
182,2022-07-30 19:03:36.618513,10199.0
183,2022-07-30 19:03:40.545906,10328.0
184,2022-07-30 19:03:46.702040,9473.0
185,2022-07-30 19:03:49.929065,9519.0
186,2022-07-30 19:03:58.369560,10097.0
187,2022-07-30 19:04:08.917420,9669.0
188,2022-07-30 19:04:13.165442,10540.0
189,2022-07-30 19:04:39.900799,9550.0
190,2022-07-30 19:04:51.931076,10006.0
