text,username,timestamp,message_id,channel_id,stream_id,unique_id,category,sentiment_a,sentiment_g,sentiment_v,sentiment_anders, 
heavy nerfed time master,runehekatt,"2022-06-12 14:05:59,053",63,D,1,63D1,among_us,,,,,
LIGHTER,k4arn4ge,"2022-06-12 14:05:59,241",64,D,1,64D1,among_us,,,,,
He can see,psykhoshie,"2022-06-12 14:05:59,382",65,D,1,65D1,among_us,,,,,
"Do role we don't know about
""
",sirenalynx,"2022-06-12 14:05:59,421",66,D,1,66D1,among_us,,,,,
What is Medium role?,iforgotmyname_69,"2022-06-12 14:05:59,864",67,D,1,67D1,among_us,,,,,
do it,xluk4s_,"2022-06-12 14:05:59,951",68,D,1,68D1,among_us,,,,,
better as regular crewmate,clutch__times,"2022-06-12 14:05:59,991",69,D,1,69D1,among_us,,,,,
seer?,sadowaowa,"2022-06-12 14:06:00,138",70,D,1,70D1,among_us,,,,,
Seer!,matthewverbeek,"2022-06-12 14:06:00,175",71,D,1,71D1,among_us,,,,,
LMAO,nycetomeetyou,"2022-06-12 14:06:00,446",72,D,1,72D1,among_us,,,,,
aww then no,xxpenjoxx,"2022-06-12 14:06:00,803",73,D,1,73D1,among_us,,,,,
KEKW,zn4k3_,"2022-06-12 14:06:00,871",74,D,1,74D1,among_us,,,,,
guardian angelllll,ghxstie7,"2022-06-12 14:06:01,368",75,D,1,75D1,among_us,,,,,
2 swappers,atomisten,"2022-06-12 14:06:01,500",76,D,1,76D1,among_us,,,,,
what is lighter,ragedogss,"2022-06-12 14:06:01,735",77,D,1,77D1,among_us,,,,,
ohhhh that can be good,lydbl,"2022-06-12 14:06:01,829",78,D,1,78D1,among_us,,,,,
Vision is good,heyyyyyw,"2022-06-12 14:06:01,995",79,D,1,79D1,among_us,,,,,
😂,takachishiro,"2022-06-12 14:06:02,207",80,D,1,80D1,among_us,,,,,
LMAO,petrichorpd,"2022-06-12 14:06:02,286",81,D,1,81D1,among_us,,,,,
MEDIUM,tanijahk03,"2022-06-12 14:06:02,327",82,D,1,82D1,among_us,,,,,
DO MEDIUM,astaaamfk,"2022-06-12 14:06:02,481",83,D,1,83D1,among_us,,,,,
